content,Predicted_Sentiment
hysterical dsrl videos featuring donald trump double trump plus enter golden lick race sweepstakes,Negative
read donald trump top ten tips success,Positive
lot people imagination execute execute imagination donald j trump,Negative
read donald trump say daughter ivanka upcoming new book trump card,Negative
watch video ivanka trump sharing business advice 4 entrepreneurial women gma,Neutral
hear donald trump discuss big gov spending banks taxes world w neil cavuto,Negative
donald trump ivanka jared wedding spectacular make beautiful couple proud father,Negative
work begun ahead schedule build greatest golf course history trump international scotland,Negative
donald trump partners tv1 new reality series entitled omarosa ultimate merger,Neutral
wishing happy bountiful thanksgiving,Positive
trump international tower chicago ranked 6th tallest building world council tall buildings urban habitat,Neutral
donald trump wishing everyone wonderful holiday happy healthy prosperous new year let think like champions 2010,Positive
celebrity apprentice returns nbc sunday 3 14 9 11pm et pt outstanding list celebrities season best one yet,Positive
trump tycoon app iphone ipod touch 2 99 advice priceless,Neutral
donald trump saw lady gaga last night fantastic,Negative
golf channel donald trump world golf host celebrity match 1 25 tngc la ca mark wahlberg vs kevin dillon,Neutral
superbowl sunday great american tradition colts saints already champions may best team win,Positive
donald trump appearing today cnn international connect world connector day submit questions,Neutral
donald trump appeared final episode jay leno show deliver special message,Negative
donald trump proud wife melania launch new jewelry line debut qvc april 30th 9 p,Neutral
donald trump andrea bocelli mar lago many say best night entertainment long history palm beach,Negative
celebrity apprentice two hour premiere sunday march 14th 9 p nbc best season yet see,Positive
new season celebrity apprentice great start last night swept 10 p hour every key demographic,Neutral
olympic gold medalist evan lysacek left office town wanted meet fanastic guy true champion,Neutral
happy announce theoriginal apprentice offer job opportunities need coming back,Positive
last week episode celebrity apprentice set stage great new season tune sunday nbc even excitement,Positive
trump hotel collection currently nominated conde nast traveler readers choice awards travel leisure world travel awards,Positive
original apprentice coming back takes next apprentice casting details,Neutral
nyc casting call apprentice thisthursday april 1 trump tower information need go nbc com casting,Positive
forget open call trump tower tomorrow apprentice look forward seeing,Neutral
today open call drew thousands eager applicants impressive group enjoyed meeting got great candidates,Neutral
last night melania attended skating stars gala wollman rink central park fantastic stay tuned part 2,Negative
attended scottish fashion show benefits veterans dressed kilt 2010 co hosted sir sean lady connery,Neutral
bestselling book last april think like champion available paperback inspiring entertaining great read,Neutral
trump soho opens friday fantastic check trump hotel collection,Neutral
terrific day downtown new york trump soho unlike anything else sure visit fantastic hotel soon,Positive
premiere donald j trump fabulous world golf tomorrow night 9 p et golf channel tune great adventure,Neutral
looking forward seeing world champion yankees today opening day,Neutral
kids go places need place go motto police athletic league organization proud support,Positive
sunday jerome bettis bus pittsburgh steelers play trump int l golf club palm beach julius erving dr j,Neutral
tune marriage ref onthursday night 10 p nbc panel experts along gloria estefan adam carolla,Positive
melania saw american idiot broadway last night great amazing theatrical experience,Neutral
melania appearing view tomorrow 11 cbs tune great fun,Neutral
put calendar may miss usa 2010 live las vegas may 16th 7 p et nbc tune great show,Positive
thoughts prayers remain bret michaels family speedy recovery,Neutral
melania appearing larry king live tonight 9 p cnn sure tune great conversation,Neutral
melania qvc tomorrow night 9 p et introduce beautiful inspiring melania timepieces fashion jewelry collection,Neutral
sure look beautiful wife melania trump tonight qvc 9 pm et debuting fantastic jewelry collection,Negative
looking forward 2010 miss usa pageant sunday may 16 nbc 7 p et hosted curtis stone natalie morales,Positive
also appearing miss usa pageant country superstar trace adkins pop rock sensation boys like girls,Positive
providing backstage commentary miss usa pageant comedic mother daughter duo joan melissa rivers fantastic lineup,Neutral
happy hear bret michael progress send best wishes full recovery,Neutral
looking forward 2010 miss usa pageant sunday may 16 nbc 7 p et hosted curtis stone natalie morales live las vegas,Positive
congratulations new miss usa beautiful rima fakih rima represent us well miss universe wonderful miss usa,Neutral
put calendar celebrity apprentice live finale sunday 9 p nbc next celebrity apprentice,Positive
check ivanka new facebook page keep happening celebrity apprentice jewlery free tickets,Neutral
latest update bret michaels making every effort attend live finale celebrity apprentice sunday tune,Neutral
pick bretmichaels hollyrpeete vote ivanka new facebook page,Neutral
congratulations bret michaels new celebrity apprentice bret true champion us happy see see win,Positive
ivanka caught bret holly backstage bret holly champions way,Neutral
ratings celebrity apprentice fantastic everyone great time terrific season congrats everyone,Negative
scotland beautiful spent several years looking right place visiting 200 sites absolutely right place,Negative
north coast scotland spectacular sea sand dunes rolling bluffs walked course fantastic,Positive
dunes amazing learned geomorphology study movement landforms great trip,Neutral
wishing everyone happy memorial day weekend special thought veterans done much freedom,Negative
turning table larry king saturday night interviewing honor 25th anniversary show,Neutral
checking course tngc westchester fantastic great season,Neutral
sure watch larry king show tomorrow night cnn 9 p host larry guest,Neutral
tonight trade places larry king kingsthings interview 25th anniversary show 9pm cnn featuring best clips,Positive
honored chosen gray line ny ride fame campaign today ribbon cutting ceremony front trump tower,Negative
check gray line site donald trump ride fame,Neutral
rima fakih beautiful miss usa rode gray line ride fame yesterday,Negative
wsj covers ride fame,Neutral
fantastic dinner last night quattro trump soho hotel already one hottest new restaurants city,Positive
trump soho new york one hottest new hotels anywhere,Positive
tune tonight 9 pm tv one ultimate merger starring one omarosa twelve brave bachelors,Positive
ultimate merger,Neutral
tonight sure watch melania ivanka larry king live celebrity relief telethon,Neutral
information tonight two hour telethon 8 10 p,Neutral
great job larry king live gulf telethon last night 1 3 million raised 2 hours,Neutral
eric trump foundation raised 1 000 000 towards st jude children research hospital,Neutral
trading shots donald trump great article wall street journal,Neutral
work expected begin today golf course scotland spectacular,Positive
wishing everyone wonderful independence day weekend lot thankful,Negative
due popular demand cnn broadcast larry king live show hosted june interview larry monday july 5 9 pm cnn,Positive
new edition apprentice thursdays fall 10 pm et putting people back work,Neutral
george steinbrenner great friend true legend never anyone like new york lost truly great man,Neutral
visited beautiful golf courses weekend one,Positive
another,Neutral
yet another spectacular,Neutral
proud accept 2010 hollyrod foundation humanitarian award holly robinson peete raised 700 000 celebrity apprentice,Neutral
could newest apprentice enter contest,Neutral
helping serta counting sheep get back work enter contest win trip las vegas,Positive
stay fantastic trump international hotel las vegas,Positive
enter contest stay trump international hotel las vegas,Positive
miss universe pageant august 23 9 11 p nbc et bret michaels natalie morales co host live las vegas,Positive
performing live miss universe pageant mandalay bay resort casino telemundo orianthi john legend roots,Neutral
mark calenders august 23rd,Neutral
eric trump foundation september 14,Neutral
eric sept 14th event held trump national golf club westchester,Neutral
check last webisode 3 part series featuring serta one favorite www youtube com user mattressserta,Positive
check last webisode www youtube com user mattressserta 3 part series featuring serta one favorite,Positive
friday last day enter counting sheep hire contest click www youtube com user mattressserta could win trip,Positive
trip would trump international hotel las vegas,Positive
forget enter serta counting sheep hire contest www youtube com user mattressserta,Neutral
original apprentice returns two hour premiere thursday september 16th looking forward fantastic season,Negative
four days miss universe pageant sure tune monday night 9 p nbc amazing show,Positive
going get hotter las vegas tonight watch miss universe pageant tonight nbc 9 p looking forward,Positive
congratulations miss mexico jimena navarrete new miss universe 2010 congratulations everyone fantastic show,Negative
miss universe pageant raked great ratings great job everyone,Negative
spent beautiful weekend golfing trump national golf club westchester trump national golf club bedminster,Neutral
went yankees game last night bill reilly great time watching yankees win,Positive
late show david letterman tonight sure tune great show 11 30 pm cbs,Neutral
check serta counting sheep trump international hotel new york,Positive
check trump international hotel tower new york spectacular,Positive
invited caroline wozniacki sit family special box match u open yesterday fantastic,Negative
lot going eric trump foundation,Negative
coming soon two hour premiere apprentice next thursday september 16th 9 pm nbc,Positive
happy civilian version apprentice back air fall excitement well opportunity,Positive
eric great job eric trump foundation annual charity outing proud,Negative
forget tune tonight two hour premiere apprentice 9 pm est nbc fantastic new season,Positive
sure tune melania second qvc show melania timepieces jewelry tonight live 9 10 pm qvc,Neutral
forget tune tonight 10 p nbc another action packed episode apprentice,Positive
see new sizzle reel apprentice,Neutral
tune tonight 10 pm nbc another exciting episode apprentice see dog whisperer make appearance,Positive
read ivanka blog last night apprentice entertainment weekly,Neutral
honored presented award doctor business administration honoris causa robert gordon university aberdeen scotland,Negative
forget tune tonight another exciting episode apprentice 10 p nbc,Positive
scotland beautiful trump internatonal golf links scotland progressing beautifully well,Negative
sure watch apprentice tonight 10 p nbc episode forget,Positive
hr solutions company polled 1 000 employed adults find would make ideal bosses,Neutral
forget tune tonight see another unpredictable exciting episode apprentice 10 pm nbc,Positive
prepared sensational episode apprentice tomorrow night 10 pm nbc,Positive
view morning talked apprentice tonight episode great one tough exciting surprising 10 pm nbc,Positive
discussing variety topics tonight greta van susteren 10 p fox news first two part series,Positive
tonight episode apprentice one want miss sure tune 10 p nbc,Positive
tonight episode apprentice big surprise top show miss 10 p nbc,Positive
interview last week greta van susteren available slightly abridged form good info know,Positive
getting wire apprentice tune tonight great action 10 p nbc,Positive
cnbc titans donald trump shown friday nov 19th 9 pm 1 sunday 11 21 9 pm 11 24 7 pm,Neutral
staff sgt salvatore giunta received medal honor pres obama month great honor visit today,Neutral
watch cnn tomorrow 2 pm 5 pm friday 7 pm 11 pm thanksgiving special hosted john king featured guest,Neutral
tomorrow night episode apprentice delivers excitement qvc along appearances isaac mizrahi cathie black 10 pm nbc,Positive
best wishes everyone happy thanksgiving,Positive
congratulations evan lysacek nominated si sportsman year great guy vote evanforsi,Positive
tonight episode apprentice one best ever final 3 high excitement way 10 pm nbc,Positive
tonight apprentice finale fantastic episode every way great liza minnelli performing new apprentice,Neutral
congratulations brandy new apprentice clint great player terrific season,Neutral
hotels currently open trump hotel collection nominated travel leisure world best awards 2011,Positive
five hotels includetrump international hotel tower new york trump soho new york trump international hotel tower chicago,Positive
trump international hotel las vegas trump international hotel tower waikiki beach walk,Positive
appearing larry king live final show thursday night 9 p cnn larry tv 25 years,Positive
forget watch larry king tonight cnn 9 pm television legend great friend going fantastic farewell,Neutral
wishing everyone happy holiday season,Positive
wishing everyone happy healthy prosperous new year,Positive
watch late night jimmy fallon tomorrow night 12 35 nbc making big announcement,Positive
afternoon speaking neil cavuto world neil cavuto 4 p fox news,Positive
forget watch tonight late night jimmy fallon 12 35 nbc making big announcement,Positive
busy phoners week neil cavuto wolf blitzer fox friends larry kudlow check,Positive
miss fabulous world golf second season golf channel beginning january 31 9 pm et celebrity matches,Neutral
people shouldtrumprun com got right factories supposed compete china countries,Negative
environmental restrictions america workers need us,Positive
watch melania qvc morning 10 11 third line melania timepieces jewelry collection,Neutral
miss fabulous world golf second season golf channel beginning tonight 9 pm et,Neutral
sure watch oprah today 4 pm channel 7 entire family entertaining hour,Neutral
great appear piers morgan tonight last night first live guest piers celebrity apprentice fantastic,Positive
watch speech cpac washington dc yesterday,Negative
cnn yesterday,Negative
foxnewsinsider comments speech cpac washington dc,Negative
check shouldtrumprun,Neutral
desk donald trump two new videos,Neutral
westminster dog show asked interested meeting hickory scottish deerhound best show came visit today,Neutral
speaking imus morning,Neutral
watch latest desk donald trump read article,Negative
check interview msnbc,Positive
check today desk donald trump willing answer questions tweet,Neutral
answered questions today video watch,Neutral
coming march comedy central roast donald trump march 15 mark calendars,Neutral
also coming celebrity apprentice returns sunday night march 6 9 pm est,Neutral
check today video blog want answer questions tweet,Neutral
answered questions today video,Neutral
today show morning visited regis kelly celebrity apprentice starts sunday night miss,Neutral
appeared david letterman last night forget sunday night first episode celebrity apprentice nbc 9 pm,Positive
watch got donald trump,Neutral
mark calendar comedy central roast march 15th 10 30 pm roast trump,Neutral
thoughts last night celebrity apprentice also observation made recently,Neutral
questions answered today video also appearance neil cavuto,Neutral
developing two tallest towers republic georgia,Neutral
forget tune celebrity apprentice sunday night 9 pm nbc fireworks continue,Positive
thoughts last night celebrity apprentice well latest video blog,Neutral
tweet questions answer next video,Neutral
watch humiliate dais full talent trumproast airs tonight 10 30 9 30c comedy central,Neutral
hey snoopdogg itsthesituation sethmacfarlane oh real scared trumproast airs tonight 10 30 9 30 comedy central,Neutral
hey realjeffreyross whitney cummings lisalampanelli call comedians trumproast tonight 10 30 9 30c comedycentral,Neutral
check trump fabulous world golf site meet fazio family master golf course designers,Positive
keep talking use trumproast tweet good look comedycentral tonight 10 30 9 30c,Neutral
popular questions answered today video,Neutral
shouldtrumprun hundreds thousands supporters already gone joined movement shouldtrumprun com,Neutral
catch fox news right interview neil cavuto,Positive
check interview gma,Positive
larry kudlow kudlow report tonight cnbc 7 p discussing current affairs politics tune,Neutral
comedy central roast donald trump last week 1 highest rated comedy central roast ever brought 3 5 milion viewers,Negative
forget celebrity apprentice sunday night 9 pm nbc another surprising exciting episode,Positive
spoke fox friends today watch,Positive
thoughts last night episode celebrity apprentice,Neutral
want see people make lots live better lives really think thetrumpnetwork,Positive
thoughts geico ad today video blog,Neutral
money gave charity response comments gadhafi,Neutral
check recent interview cnn,Positive
appearance view,Neutral
latest celebrity apprentice video blog,Neutral
watch play golf baseball tonight donald j trump fabulous world golf 9pm et golf channel,Neutral
watch tonight reilly factor 8 pm 11 pm est fox news,Positive
watch latest video blog,Neutral
thoughts reilly factor,Neutral
catch second part interview bill reilly tonight 8pm fox news,Positive
sure watch celebrity apprentice sunday 9 pm nbc episode want see one forget,Positive
want answer questions next video blog tweet,Neutral
thoughts week episode celebrity apprentice,Negative
check video today press conference trump tower driver indy500 pace car announced,Negative
featured todayshow morning interviewed meredithvieira case missed,Negative
choirboy shampa525 mcleeoo impetuous rdercjr questions answered trumpvlog watch,Neutral
really enjoyed answering tweets please send answer next trumpvlog,Negative
tune sunday 9 pm nbc celebrity apprentice featuring pirates fireworks cast,Positive
forget tune tonight donald j trump fabulous world golf 9 pm et golf channel,Neutral
danmcisaac hopefully answers question trumpvlog,Neutral
thoughts week episode celebrity apprentice trumpvlog,Negative
republicans watch democrats already starting,Neutral
catch interview hannityshow tonight 9pm foxnews,Positive
thoughts hannityshow appearance tea party weekend,Neutral
thoughts speech past weekend today trumpvlog,Neutral
forget watch donald j trump fabulous world golf tonight 9 pm et,Neutral
week celebrity apprentice video blog,Negative
appearances todayshow gma,Neutral
tweet questions trumpvlog,Neutral
see great things donaldjtrumpjr ivankatrump erictrump working,Neutral
wishn2bfamous khfritch questions answered today trumpvlog,Neutral
sure tune another exciting episode celebrity apprentice sunday 9 p et nbc,Positive
tune tonight donald j trump fabulous world golf 9 pm et golf channel,Neutral
new next generation videos donaldjtrumpjr ivankatrump erictrump,Neutral
thoughts yesterday events today trumpvlog,Negative
sure watch celebrity apprentice sunday night 9 pm nbc,Positive
preview sunday celebrity apprentice,Neutral
forget watch donald j trump fabulous world golf tonight 9 pm golf channel,Neutral
want personally congratulate president obama men women armed forces job well cont,Positive
oreillyfactor poll cast vote,Positive
sure watch celebrity apprentice sunday night 8 pm nbc,Positive
watch appearance foxandfriends,Neutral
watch donald j trump fabulous world golf golf channel tonight 9 pm et,Neutral
thoughts speech new hampshire trumpvlog also watch speech,Neutral
sneak peek sunday episode celebrity apprentice trumpvlog,Neutral
guests raving exclusive hotel mattress made available purchase,Positive
ny jets center nick mangold interns trump watch trump fabulous world golf tonight 9pm et golf channel,Neutral
difficult decision regarding presidential run want thank twitter fans fantastic support,Neutral
vote next miss usa vegasusa11 missusa,Neutral
check today trumpvlog upcoming episode apprenticenbc celebrityapprenticefinale,Neutral
get ready excitement live finale celebrity apprentice sunday night miss,Neutral
appearance foxandfriends today,Neutral
congratulations john rich marlee matlin terrific job throughout season great,Neutral
thanks tremendous support past months stay tuned,Neutral
therealmissusa 2011 contestants stopped trump tower yesterday watch video missusa vegasusa11,Negative
wishing everyone happy memorial day thank soldiers protected great country,Positive
thoughts last night meeting sarahpalinusa today trumpvlog,Neutral
watch appearances good day ny foxandfriends,Neutral
tweet questions next trumpvlog,Neutral
check speech last friday well appearance morning foxandfriends,Neutral
thoughts anthony weiner today trumpvlog,Neutral
popular tweet answered holding presidential bid trumpvlog,Neutral
new youtube channel today brand new trumpdocumentary giving look inside world trump golf,Neutral
watch hannityshow tonight 9pm thoughts anthony weiner today trumpvlog,Neutral
forget miss usa pageant live sunday night 9 pm et nbc vote favorite beauty,Positive
congratulations alyssa campanella miss california new miss usa,Neutral
congratulations miss usa pageant 1 telecast night among abc cbs nbc fox great show huge success,Positive
visiting trump int l golf links scotland course unmatched anywhere world spectacular,Positive
new miss usa alyssa campanella came office today visit proud new title holder,Neutral
golfmagazine online competition vote,Positive
san jose ca saturday sit interview acn national meeting attended 20 000 people huge,Positive
weekly phoner fox friends morning sounding issues day,Positive
please read watch recent trip made trump vineyard estates erictrump,Neutral
wishing everyone wonderful independence day holiday weekend great celebration great country,Positive
tomorrow going panama opening new hotel fantastic building fantastic location,Positive
perhaps kind thinking need washington,Negative
congress back time cut cap balance revenue problem debt limit cannot raised obama spending contained,Neutral
republicans negotiate barackobama today debt talks first foremost cut cap balance,Positive
art deal best thing deal strength leverage biggest strength cut cap balance,Neutral
obama focused balancing budget weakening israel borders america would path solvency,Neutral
message house gop worst thing possibly deal seem desperate make art deal,Neutral
obama iranian weapons killing americans iraq u,Neutral
obamacare tragedy primed explode deficit obama transferred 500 billion medicare fund,Negative
house gop wants cut medicare obama took 500 billion medicare obamacare wrong,Negative
derek jeter baseball today trumpvlog,Neutral
youtube channel opening incredible trump ocean club panama,Neutral
mr speaker bring balanced budget amendment floor vote let get ball rolling,Positive
much pays emphasize positive times choice confrontation art deal,Negative
macmiller donald trump song gets 16m hits youtube flattered,Negative
thoughts debt ceiling today trumpvlog,Neutral
debt ceiling sometimes deal better bad deal,Positive
interview last night greta gop going el foldo,Positive
barackobama tries push gun control still answered project gun runner,Neutral
barackobama abandoned israel engaged muslim brotherhood even arab world like,Neutral
us news named top10 best hotels us trump int l hotel tower nyc trump int l hotel tower chicago list,Positive
take look see beautiful hotels,Positive
cut cap balance taxed enough already,Neutral
better advice art deal rules radicals know one barackobama prefers,Positive
next therealteenusa find saturday 8pm et missteenusa com teenusa,Neutral
barackobama increased discretionary spending 25 annually amassed 4 trillion debt e,Neutral
marcorubio right need create taxpayers taxes cut cap balance,Positive
congratulations daughter ivanka husband jared birth daughter arabella rose yesterday,Negative
trumpvlog republicans must act let barackobama push around,Negative
barackobama sold guns mexican drug lords doj erodes 2nd amendment rights,Positive
every dollar barackobama spends costs 1 40 interest borrowed china children grandchildren backs cut cap balance,Negative
gop waste opportunity waste opportunity defunding obamacare central deal,Negative
china ordering us raise debt limit low nation sunk,Negative
ericcantor con people deliver goods people eventually catch art deal,Neutral
barackobama seeks destroy credit economy continues hemorrhage jobs total failure president,Positive
obamacare biggest tax increase u history repeal part deal,Negative
check,Neutral
robust economic growth answer medicare problem cuts elderly,Neutral
obama addicted spending america insolvency record proves,Neutral
china enemy want destroy us redstate interview,Neutral
could use balanced budget amendment politicians cut spending,Neutral
gang six yet another unmitigated disaster deal needs repeal obamacare e,Negative
interview gretawire last night leaders leading us oblivion,Positive
increasing america debt weakens us domestically internationally us senator barackobama 2007,Neutral
ronald kessler new book secrets fbi great book read everyone,Negative
unfortunately continued attack us lead ever rising gas prices pump lots really bad things,Negative
need balanced budget amendment congress fiscal discipline,Positive
answer social security medicare robust growing economy cuts elderly,Neutral
pressure debt ceiling barackobama trumpvlog,Neutral
obama sadly business private sector background shows,Neutral
fiscal mismanagement cash costing us taxpayer billions cut fraud waste cutting funding seniors,Neutral
thoughts situation norway amanda knox trumpvlog,Neutral
interview yesterday fox friends gop crazy get everything want,Positive
america debt greater gdp time new thinking,Neutral
china much debt put us default w killing us needs toughest negotiator fast,Negative
higher taxes kill job creation cut wild government spending waste,Neutral
watch wife melania trump tonight qvc 1 proud,Neutral
know walk away table art deal,Neutral
people ask every day pose pictures camera never works first time never prepared maybe nervous,Positive
interview yesterday newsmax obama totally lost boehner must fold,Neutral
karlrove crossroadsgps new ad criticizes obama excessive spending debt borrowing china bush thing,Negative
please tweet questions answer trumpvlog,Neutral
worst thing possibly deal seem desperate make art deal,Neutral
wife melania trump show tremendous success last night case missed see tonight qvc 7 pm et,Positive
barackobama released debt plan yet totally lost ineffective desperate gop best chance make great deal,Neutral
appreciate kind words mike huckabee fine american,Positive
got mike leach new book swing sword great coach written great book definitely worth reading,Negative
never quit always hit back art comeback,Negative
blue ribbon commission find agree future spending cuts bad idea,Neutral
obama fight fight next year loses watch fine details every deal art deal,Neutral
watched sean hannity last night great guy,Neutral
taxes boehner reid plan important victory america,Neutral
need economic growth jobs blue ribbon panels study problem,Positive
ex presidential pollster pat cadell says voters sick parties failure,Neutral
disappointed gop dems giving obama power raise debt limit next year mistake,Neutral
best deal republicans could get,Neutral
defense cuts deal america must remain strong,Neutral
deal help strengthen us,Neutral
republicans democrats created economic problems,Neutral
questions desk answered today trumpvlog,Neutral
learn debt deal worse gets,Neutral
interview yesterday cnbc squawk box debt deal cont,Positive
taxes good thing dc debt deal,Neutral
would approved deal trumpvlog,Neutral
politicians washington one good negotiator,Positive
wake america china eating lunch,Negative
believe america great proper leadership,Positive
republicans gave obama free pass white house get,Neutral
morning joe panel stealing many statements ideas better america without giving credit story life,Positive
today trumpvlog answers tweets thoughts republican candidates,Neutral
watch interview greta van susteren show record tonight fox news 10 p hour,Positive
thanks giovanni coal fire pizza florida donating enough pizza feed 750 police athletic league youngsters ny friday,Neutral
interview last night greta fox news,Positive
america debt officially became 100 gdp barackobama 50th birthday coincidence,Neutral
china demanded raise debt ceiling rating agency downgraded us leaders hope cont,Negative
today trumpvlog answer questions uncertain economy,Neutral
obama care already devastating impact economy,Neutral
new president opec mahmoud ahmadinejad confidant rostam ghasemi commander revolutionar cont,Positive
p downgrade direct result barackobama increased reckless budget spending obama care owns,Neutral
hired listen apprentice andy launch radio show americanowradio tomorrow 6pm et,Neutral
interview greta last night fox news nation become talk action,Positive
interview yesterday p downgrade wolf blitzer cnn,Positive
p losers personal publicity order straighten terrible reputatio cont,Positive
republicans democrats get back work immediately work resolving downgrade go cont,Positive
countdown americanowradio former apprentice andy talk politics cont,Positive
listen live new radio show americanowradio apprentice andy tell like 6pm et,Neutral
barackobama took another swipe state israel building capital jerusalem jewish hol cont,Neutral
congress get back washington barackobama want interrupt vacation martha vineyard,Negative
oil starting rise despite horrible times opec continues rip us worth 30 new leadership needed,Positive
fed continues flood market us dollars wrong move,Neutral
interview yesterday apprentice andy americanowradio,Positive
cnbc morning talking market america financial future,Negative
looking forward gop debate outcome ames straw poll must get real leader,Neutral
mitt romney defend record jobs romneycare tonight debate,Neutral
easy see americans sick career politicians parties,Positive
interview americanowradio andy dean andy contestant second season apprentic cont,Positive
obama understanding create jobs opportunity believes government,Neutral
ron paul right wasting trillions dollars iraq afghanistan,Neutral
mike huckebee great guy said president appoint treasury secretary china opec would happy,Neutral
economic growth save social security medicare america,Neutral
reporters say trump bump tell cnbc buying stocks market goes,Negative
barackobama played golf yesterday heads 10 day vacation martha vineyard nice work ethic,Negative
thoughts republican party today trumpvlog,Negative
unemployment plaguing black hispanic youths troubling,Negative
china threat america friend,Negative
interviewed greta van susteren today trump tower tune tonight fox news 10 p cont,Positive
good example country wastes money trumpvlog,Positive
china owes us money trumpvlog,Negative
amazing obama speaks market goes trump tells cnbc buying stock market goes way,Negative
rush sean hannity mike savage greta van susteren bill reilly personal favorites,Negative
interview morning good morning america george stephanopoulos,Positive
barackobama record low 39 gallup approval rating high,Neutral
interview gretawire fox news missed obama constantly vacation,Positive
ron paul right says wasting lives money iraq afghanistan,Negative
macmiller enjoy today trumpvlog,Negative
karl rove lost gop houses congress white house gave us obama,Neutral
many people asking see plane apprentice amandatmiller give tour,Neutral
insurgents iraq show still mount horrifying attacks us wastes trillions,Neutral
listen interview today jay sekulow live jordansekulow show 12pm est,Positive
barackobama new job plan certainly following 1 create jobs 2 borrow money china,Negative
barackobama sure master delegator sent joe biden china chinese laughing us must better,Negative
israel barraged rockets gaza recently must respond accordingly defense citizens,Neutral
barackobama continues defend obamacare courts also granting companies waivers eve cont,Negative
told called rebels help give us 50 oil trumpvlog,Negative
need another stimulus first one complete failure repeat mistake,Positive
ronpaul serious ideas deserve serious consideration wrong media ignore,Neutral
spent billion libya lead way europe getting oil,Neutral
let start celebrating libya see takes,Neutral
bad qaddafi comes next libya worse watch,Neutral
predicted joe biden complete disaster china condoned chinese one child policy cont,Neutral
spent 1 billion libya operation getting back,Neutral
usually easy solution every problem instance lot country problems solved next year election,Positive
barackobama inherited 10 6 trillion national debt leave first term debt 17 6 trillion,Positive
china corporate espionage continued threat american economy right leadership stopped,Negative
america needs president negotiate better deals american people,Positive
proud work son erictrump erictrumpfdn take look,Positive
barackobama family travel separately martha vineyard love extravagantly spend taxpayers dime,Neutral
substitute private sector experience,Neutral
americans seem fed parties agree,Neutral
hurricane irene libya today trumpvlog,Neutral
libyan rebels given us 50 oil return military support even ask,Neutral
iran admits aiding libyan rebels ahmadinejad received letter thanks washington learn,Negative
barackobama must release budget johnboehner begins negotiations continuing appropriations resolution,Neutral
crude 85 right even worth half opec ripping us,Neutral
palestinians want statehood run terrorist group hamas,Neutral
un unilaterally grants palestinians statehood us cut funding actions consequences,Neutral
obamacare must fully repealed destroy america small businesses,Neutral
new libyan government turn lockerbie bomber,Neutral
china business interests reach far wide even domestically within borders need reassess relationship,Negative
barackobama transparently atf head kenneth melson resign yesterday fast furious obviously goes way white house,Negative
thoughts dick cheney new book trumpvlog,Neutral
libya taken islamic radicals barackobama open support,Neutral
gas prices rising economy failing barackobama seeks epa raise energy prices 109b,Positive
greta van susteren show tonight 10 pm foxnews tune,Neutral
must stand firm un ploy sabotage israel un grants pa statehood must immediately defund,Neutral
interview gretawire last night everything obama campaign speech,Positive
barackobama inept think simply made mistake originally scheduling joint session september 7th sad,Neutral
make mistake fast furious goes way white house,Neutral
white house predicting 9 unemployment throughout 2012 obama care takes effect 2014 expect go even higher,Positive
fast furious put semi automatics hands mexican drug lords killed americans barackobama answer questions,Neutral
